Player, Pos, Team, Salary, GP, FPPG, FPMAX, Floor, Ceil, %2x, %3x, %4x, %5x, %6x
Ty Lawson, PG, IND, 3500.00, 8, 14.41, 16.3, 12.64, 16.19, 100.0, 87.5, 75.0, 0.0, 0.0 
Alonzo Gee, SF, NOP, 3700.00, 7, 15.74, 29.6, 8.63, 22.86, 100.0, 57.14, 42.86, 28.57, 14.29 
J.R. Smith, SG, CLE, 4500.00, 12, 20.56, 38.5, 10.8, 30.31, 91.67, 66.67, 66.67, 41.67, 25.0 
Jeremy Lin, SG, CHA, 4200.00, 10, 22, 39.4, 11.75, 32.25, 100.0, 70.0, 60.0, 50.0, 50.0 
Brandon Jennings, PG, ORL, 4100.00, 11, 16.92, 29.6, 10.64, 23.19, 100.0, 81.82, 45.45, 27.27, 9.09 
Avery Bradley, SG, BOS, 5800.00, 9, 28.04, 39.6, 21.62, 34.47, 100.0, 100.0, 55.56, 44.44, 22.22 
Mo Williams, PG, CLE, 3500.00, 5, 8.3, 15.4, 4.07, 12.53, 40.0, 40.0, 20.0, 0.0, 0.0 
Ramon Sessions, PG, WAS, 3700.00, 11, 9.7, 26, 2.1, 17.3, 63.64, 27.27, 27.27, 9.09, 9.09 
George Hill, PG, IND, 4700.00, 10, 21.33, 40.1, 13.46, 29.2, 100.0, 90.0, 60.0, 30.0, 10.0 
Arron Afflalo, SG, NYK, 4100.00, 10, 15.72, 31.1, 6.75, 24.69, 80.0, 40.0, 30.0, 30.0, 30.0 
Randy Foye, SG, OKC, 3500.00, 11, 11.84, 22.9, 4.62, 19.05, 63.64, 45.45, 45.45, 27.27, 18.18 
Wayne Ellington, SG, BKN, 3500.00, 6, 12.32, 17.7, 7.95, 16.68, 83.33, 66.67, 50.0, 16.67, 0.0 
C.J. Watson, PG, ORL, 3500.00, 7, 11.63, 21.1, 4.53, 18.73, 57.14, 42.86, 42.86, 14.29, 14.29 
Gerald Henderson, SG, POR, 3800.00, 11, 18.48, 28.5, 13.2, 23.77, 100.0, 100.0, 54.55, 36.36, 18.18 
Marcus Thornton, SG, WAS, 3500.00, 7, 13.19, 28.9, 4.55, 21.83, 71.43, 42.86, 28.57, 28.57, 28.57 
Courtney Lee, SG, CHA, 4300.00, 11, 21.25, 29.7, 15.51, 27, 100.0, 90.91, 63.64, 45.45, 27.27 
Steve Blake, PG, DET, 3500.00, 11, 11.77, 16.6, 9.11, 14.44, 100.0, 72.73, 18.18, 0.0, 0.0 
J.J. Redick, SG, LAC, 4600.00, 10, 20.3, 29.5, 14.59, 26.01, 100.0, 100.0, 40.0, 30.0, 20.0 
James Harden, SG, HOU, 10900.00, 10, 52.66, 62.3, 45.04, 60.28, 100.0, 100.0, 90.0, 40.0, 0.0 
Toney Douglas, PG, NOP, 5600.00, 11, 24.22, 36.6, 17.15, 31.29, 100.0, 81.82, 63.64, 27.27, 18.18 
Louis Williams, SG, LAL, 4600.00, 7, 20.14, 39.1, 11.33, 28.96, 100.0, 71.43, 42.86, 14.29, 14.29 
Rodney Stuckey, SG, IND, 3800.00, 10, 12.27, 27.7, 4.88, 19.66, 80.0, 50.0, 20.0, 20.0, 10.0 
Jason Terry, PG, HOU, 3500.00, 10, 7.48, 19.9, 2.12, 12.84, 40.0, 20.0, 10.0, 10.0, 0.0 
Jose Calderon, PG, NYK, 4100.00, 8, 18.58, 30.9, 8.61, 28.54, 75.0, 75.0, 50.0, 50.0, 37.5 
Jamal Crawford, SG, LAC, 4900.00, 11, 23.55, 46.7, 13.01, 34.08, 90.91, 81.82, 54.55, 45.45, 36.36 
Devin Harris, SG, DAL, 3900.00, 9, 18.11, 28.1, 10.48, 25.75, 88.89, 66.67, 66.67, 33.33, 33.33 
Raymond Felton, PG, DAL, 4700.00, 9, 18.41, 31.5, 8.55, 28.27, 66.67, 66.67, 44.44, 44.44, 33.33 
Deron Williams, PG, DAL, 6100.00, 4, 32.43, 59.6, 15.55, 49.3, 100.0, 75.0, 50.0, 50.0, 25.0 
Kobe Bryant, SG, LAL, 5400.00, 8, 21.45, 46.3, 8.61, 34.29, 62.5, 62.5, 50.0, 25.0, 12.5 
Russell Westbrook, PG, OKC, 10700.00, 11, 47.99, 57.1, 41.39, 54.59, 100.0, 100.0, 72.73, 36.36, 0.0 
John Wall, PG, WAS, 9400.00, 11, 44.11, 59, 36.63, 51.58, 100.0, 100.0, 81.82, 36.36, 9.09 
Chris Paul, PG, LAC, 9700.00, 10, 43.53, 57.7, 35.47, 51.59, 100.0, 100.0, 70.0, 30.0, 0.0 
Monta Ellis, SG, IND, 6100.00, 10, 25.49, 46.7, 15.47, 35.51, 90.0, 70.0, 70.0, 30.0, 10.0 
Carmelo Anthony, SF, NYK, 8500.00, 8, 35.81, 43.4, 30.28, 41.34, 100.0, 100.0, 50.0, 25.0, 0.0 
Jonas Jerebko, PF, BOS, 3500.00, 7, 12.1, 17.9, 7.45, 16.75, 85.71, 71.43, 42.86, 14.29, 0.0 
James Jones, SF, CLE, 3500.00, 5, 8.96, 13.2, 6.63, 11.29, 80.0, 20.0, 0.0, 0.0, 0.0 
Richard Jefferson, SF, CLE, 3500.00, 9, 9.99, 28.3, 3, 16.98, 55.56, 33.33, 11.11, 11.11, 11.11 
Luke Babbitt, SF, NOP, 5000.00, 11, 20.88, 41.5, 9.3, 32.46, 72.73, 63.64, 63.64, 45.45, 18.18 
LeBron James, SF, CLE, 10600.00, 10, 48.64, 66.7, 37.53, 59.75, 100.0, 100.0, 70.0, 40.0, 10.0 
Paul George, SF, IND, 8900.00, 10, 39.85, 61.4, 30.04, 49.66, 100.0, 90.0, 60.0, 30.0, 10.0 
Lou Amundson, PF, NYK, 3500.00, 4, 4.63, 8.9, 1, 8.25, 50.0, 0.0, 0.0, 0.0, 0.0 
Dante Cunningham, PF, NOP, 3900.00, 11, 17.99, 30.2, 12.27, 23.71, 100.0, 81.82, 72.73, 36.36, 9.09 
Anthony Tolliver, PF, DET, 3500.00, 10, 9.06, 24.8, 1.08, 17.04, 40.0, 30.0, 20.0, 20.0, 20.0 
Ed Davis, PF, POR, 4600.00, 11, 24, 32.8, 17.64, 30.36, 100.0, 90.91, 81.82, 45.45, 36.36 
Jordan Hill, C, IND, 3500.00, 8, 13.09, 27.7, 5.45, 20.72, 87.5, 50.0, 25.0, 25.0, 25.0 
Corey Brewer, SF, HOU, 3500.00, 10, 10.67, 18, 5.07, 16.26, 70.0, 50.0, 30.0, 20.0, 0.0 
Al-Farouq Aminu, SF, POR, 5400.00, 11, 25.65, 47.3, 16.81, 34.48, 100.0, 90.91, 63.64, 36.36, 18.18 
Wesley Johnson, SF, LAC, 3700.00, 11, 14.66, 26.3, 8.31, 21.02, 81.82, 72.73, 54.55, 18.18, 18.18 
Ryan Anderson, PF, NOP, 6100.00, 2, 41.7, 44.9, 38.5, 44.9, 100.0, 100.0, 100.0, 100.0, 100.0 
Amir Johnson, PF, BOS, 4600.00, 10, 25.51, 39.3, 16.77, 34.25, 100.0, 80.0, 70.0, 60.0, 50.0 
Evan Turner, SF, BOS, 6100.00, 10, 27.13, 39.3, 17.08, 37.18, 90.0, 80.0, 70.0, 50.0, 10.0 
Serge Ibaka, PF, OKC, 5500.00, 9, 25.28, 33.1, 19.34, 31.21, 100.0, 88.89, 66.67, 44.44, 11.11 
Tyler Hansbrough, PF, CHA, 3500.00, 4, 4.33, 8.6, 1.21, 7.46, 25.0, 0.0, 0.0, 0.0, 0.0 
C.J. Miles, SF, IND, 3800.00, 10, 16.11, 33.4, 8.5, 23.72, 90.0, 80.0, 40.0, 30.0, 20.0 
